Time (s),Magnetic Field x (µT),Magnetic Field y (µT),Magnetic Field z (µT),Absolute field (µT)
4.4402695,-6.591552734,-16.67533493,-41.25813293,44.98609669
4.4502155,-6.763671875,-16.73382759,-40.79795837,44.61212448
4.4601615,-6.49760437,-16.55941391,-41.29023743,44.95905647
4.4701075,-6.508285522,-16.71653366,-41.1592865,44.89863186
4.4800525,-6.657958984,-16.75903511,-41.46131897,45.21321318
4.4899985,-6.514190674,-16.65954781,-41.32307434,45.02856522
4.4999445,-6.739639282,-16.8799324,-41.23643494,45.06438086
4.5098905,-6.788711548,-16.95707512,-41.25489807,45.11757547
4.5198365,-6.893997192,-16.82535553,-41.53627014,45.34182973
4.5297815,-6.633514404,-17.00447273,-41.47361755,45.31243272
4.5397275,-6.864944458,-16.88039207,-41.35313416,45.19022907
4.5496735,-6.784942627,-16.95887756,-41.35823059,45.21219097
4.5596195,-6.584533691,-16.78032684,-41.46803284,45.21651469
4.5695655,-6.541061401,-16.75457382,-41.64433289,45.36244801
4.5795105,-6.623428345,-16.74937248,-41.73365784,45.45447699
4.5894565,-6.555679321,-16.75918961,-41.51078796,45.24370547
4.5994025,-6.711807251,-16.7660675,-41.55085754,45.30588415
4.6093485,-6.836212158,-16.43032646,-41.57112122,45.21999053
4.6192945,-6.643035889,-16.50260544,-41.81642151,45.44314052
4.6292395,-6.526702881,-16.52137566,-41.56568909,45.20243592
4.6391855,-6.721679688,-16.51163101,-41.64546204,45.30076649
4.6491315,-6.568786621,-16.34301186,-41.62425232,45.19758152
4.6590775,-6.363235474,-16.32344627,-41.85719299,45.37587761
4.6690235,-6.091049194,-16.56912041,-42.15745544,45.70435079
4.6789695,-6.207489014,-16.67673492,-41.87812805,45.50191223
4.6889145,-6.170532227,-16.58603096,-41.41511536,45.03758065
4.6988605,-6.125595093,-16.51832008,-41.57933044,45.15770736
4.7088065,-6.094787598,-16.36101723,-41.59233093,45.1082178
4.7187525,-6.230514526,-16.49157906,-41.27171326,44.8792358
4.7286985,-6.160720825,-16.51157761,-41.48768616,45.07565617
4.7386435,-6.08543396,-16.53246498,-41.17729187,44.78754593
4.7485895,-6.108535767,-16.41139221,-41.25782776,44.82026723
4.7585355,-6.310943604,-16.47794914,-41.78559875,45.35842899
4.7684815,-6.43397522,-16.38899803,-41.69612122,45.26104084
4.7784275,-6.378860474,-16.44686317,-41.42915344,45.02847903
4.7883725,-6.193664551,-16.56099701,-41.45875549,45.0716819
4.7983185,-6.094650269,-16.6461277,-41.47776794,45.10702343
4.8082645,-6.093414307,-16.47516823,-41.34117126,44.91829591
4.8182105,-6.153564453,-16.2941761,-41.71287537,45.2032134
4.8281565,-6.048980713,-16.55797386,-41.69761658,45.27082829
4.8381025,-6.397003174,-16.15238953,-41.76271057,45.2321272
4.8480475,-6.264923096,-16.26327705,-41.60319519,45.10620015
4.8579935,-6.381408691,-16.2524395,-41.6889801,45.19773477
4.8679395,-6.23815918,-16.43756866,-41.70420837,45.25869297
4.8778855,-6.111709595,-16.45294571,-41.81239319,45.34675998
4.8878315,-6.010284424,-16.22500801,-41.7900238,45.23030503
4.8977765,-5.957702637,-16.49770164,-41.74443054,45.27986155
4.9077225,-5.907440186,-16.57569504,-41.61820984,45.18547229
4.9176685,-5.818069458,-16.82918167,-41.63844299,45.28610408
4.9276145,-5.889434814,-16.92679214,-41.50059509,45.20510068
4.9375605,-5.935958862,-16.77029991,-41.50196838,45.15409114
4.9475055,-6.120727539,-16.58036041,-41.45191956,45.06254866
4.9574515,-6.059799194,-16.69869804,-41.47135925,45.11586551
